Sample number,X1,X2,X3,X4,Y
229.0,2588046.0383498324,2825069.6631380166,2945519.404919608,3096044.5579968854,2305420.566792333
230.0,2450835.187697259,2617518.544336,2747674.239040573,2925198.9150336054,2097622.6781427795
231.0,2708788.9672187385,2831048.5832501636,2932373.0427144794,3066795.591000691,2352041.666710248
232.0,2774987.6960601993,2956111.5594751188,3102541.685814318,3198620.940257778,2500467.866927257
233.0,2615157.1221817303,2824476.717188139,2939459.4946072577,3071273.3285948867,2329052.8749389388
234.0,2455666.083313436,2756436.6663979082,2942822.039769041,3136060.7045289082,2163328.222970594
235.0,2873897.639858474,3020746.449712412,3187282.1530663506,3282895.447218202,2485746.151527484
236.0,2669649.9289529314,2855109.10007438,2975973.304758548,3197162.1339569446,2344757.5469733705
237.0,2766717.0519043547,2978097.414435973,3154663.3133308114,3253406.9123433647,2432681.094104011
238.0,2724123.5965343704,2880070.6039333385,2985973.0553536653,3053412.5335590835,2435134.422037063
239.0,2807359.0418527387,2938540.841795677,3056393.3093976392,3189101.381103237,2480718.2886420498
240.0,2732289.2553721745,2874731.3286423665,3015453.6862053885,3040064.713950126,2386532.3492140747
241.0,2331551.013735571,2486336.070650302,2656621.460879199,2753428.1357607474,2048385.6127848488
242.0,2307726.8866966334,2472005.288122095,2641469.474991103,2690964.0504005263,1974908.5048392895
243.0,2581566.7192077697,2752039.031572488,2868673.6452936954,3039651.65951938,2302318.0980406515
244.0,2558746.1812020415,2805988.10183794,2910893.976413723,3077235.900542485,2274631.4548635343
245.0,2527466.4275383125,2744224.392503407,2920624.109021565,3012086.6829254143,2270843.697241002
246.0,2590533.304106953,2716329.8025405076,2819705.135926597,2928595.104755555,2291645.782442517
247.0,2758230.2435080223,2958703.5982269146,3108410.3216366475,3182555.4040885777,2501503.008665174
248.0,2716901.476568403,2844798.4783603237,2947740.7179859057,3070538.0314591047,2351742.8384579387
249.0,2359705.288634904,2552204.522819843,2716539.1911394084,2778770.069028862,2129873.831732632
